AMCL gives us 101 possible locations:
X: 17.9768	Y: -3.84599	A: 0.0152186	W: 0.0001
X: -6.26529	Y: 14.4378	A: -0.191231	W: 0.0001
X: 6.80354	Y: 17.4199	A: -0.0369723	W: 0.0001
X: 6.98264	Y: 15.4048	A: 0.0193745	W: 0.0001
X: 11.9664	Y: 19.6941	A: -0.0515475	W: 0.0001
X: 1.95073e-309	Y: 0	A: 0	W: 0

AMCL gives us 63 possible locations:
X: 1.58791	Y: -1.3997	A: 0.0795901	W: 0.5429
X: 4.24264	Y: -5.25893	A: 0.167708	W: 0.188
X: -6.14289	Y: -0.279084	A: 0.0897637	W: 0.1182
X: -5.82407	Y: -5.93899	A: 0.0407669	W: 0.0852
X: -2.52475	Y: -0.159756	A: 0.00425587	W: 0.0365
X: 5.65347	Y: 5.99671	A: 0.0878995	W: 0.0078
X: -0.83988	Y: 2.38161	A: 0.0703883	W: 0.0044
X: 5.74386	Y: 2.74687	A: 0.199083	W: 0.0042
X: 6.02224	Y: 0.340956	A: 0.0486477	W: 0.0033
X: -1.25335	Y: -2.49279	A: 0.154236	W: 0.0013
X: 3.02913	Y: 1.66444	A: 0.0313814	W: 0.0009
X: 5.75849	Y: 7.38181	A: 0.0699583	W: 0.0008
X: -3.08927	Y: -2.94317	A: 0.105487	W: 0.0004
X: 1.23466	Y: 1.33991	A: 0.139651	W: 0.0003
X: 7.46188	Y: -4.96641	A: 0.0158325	W: 0.0003
X: -1.70529	Y: 7.24815	A: 0.0685572	W: 0.0003
X: 1.79626	Y: 6.77065	A: -0.0581724	W: 0.0003
X: -7.64429	Y: 7.06278	A: 0.169501	W: 0.0002
X: -0.482659	Y: 10.9617	A: -0.033258	W: 0.0002
X: -4.10027	Y: -8.92749	A: 0.00203299	W: 0.0002
X: 5.63783	Y: -1.81503	A: 0.23023	W: 0.0002
X: 3.85201	Y: 4.84136	A: 0.0549118	W: 0.0001
X: 2.40313	Y: 4.46228	A: 0.0796588	W: 0.0001
X: 6.86717	Y: 8.74624	A: -0.0239687	W: 0.0001
X: -7.37708	Y: -10.5266	A: -0.00705776	W: 0.0001
X: -9.60502	Y: -15.5633	A: -0.0262786	W: 0.0001
X: -8.54235	Y: 10.2532	A: -0.0331903	W: 0.0001
X: -14.5005	Y: 15.7499	A: 0.126174	W: 0.0001
X: 11.4104	Y: -10.6439	A: 0.33269	W: 0.0001
X: 6.4981	Y: -9.01219	A: 0.235188	W: 0.0001
X: -1.14675	Y: -13.3457	A: 0.139143	W: 0.0001
X: -0.394358	Y: -17.825	A: 0.161888	W: 0.0001
X: -7.89215	Y: 9.5904	A: 0.148263	W: 0.0001
X: 0.161867	Y: -2.55454	A: 0.085861	W: 0.0001
X: -0.396329	Y: 6.38261	A: -0.0596385	W: 0.0001
X: -21.9954	Y: -5.93202	A: -0.207305	W: 0.0001
X: 4.02613	Y: -9.13251	A: 0.0965001	W: 0.0001
X: 0.619563	Y: 7.75521	A: 0.406979	W: 0.0001
X: 0.987485	Y: 6.65261	A: -0.0692429	W: 0.0001
X: -1.29625	Y: 7.37607	A: 0.473608	W: 0.0001
X: 7.26014	Y: -0.0279473	A: 0.0374233	W: 0.0001
X: -3.32271	Y: 7.10623	A: -0.084751	W: 0.0001
X: 19.4801	Y: -8.69489	A: 0.195278	W: 0.0001
X: 4.36248	Y: -11.8985	A: 0.141072	W: 0.0001
X: -6.98437	Y: 7.47084	A: -0.0245062	W: 0.0001
X: -13.1425	Y: 8.394	A: 0.126442	W: 0.0001
X: 7.29638	Y: -7.21061	A: 0.124701	W: 0.0001
X: 7.7675	Y: 1.12187	A: 0.176533	W: 0.0001
X: 9.1821	Y: 3.39137	A: 0.20578	W: 0.0001
X: -0.0469178	Y: 12.3112	A: 0.107026	W: 0.0001
X: -0.727479	Y: -12.0137	A: -0.0157378	W: 0.0001
X: 10.2108	Y: -15.8071	A: 0.128679	W: 0.0001
X: 3.5176	Y: 3.18779	A: 0.0437374	W: 0.0001
X: 7.66454	Y: 7.28253	A: 0.0807311	W: 0.0001
X: 3.28439	Y: 12.5886	A: 0.135544	W: 0.0001
X: -1.69605	Y: -12.089	A: 0.165788	W: 0.0001
X: 8.55347	Y: 0.466526	A: 0.0369	W: 0.0001
X: -6.19485	Y: 5.12047	A: -0.107897	W: 0.0001
X: -9.8973	Y: -6.98854	A: 0.250626	W: 0.0001
X: 2.81651	Y: -12.5106	A: -0.106372	W: 0.0001
X: -0.563691	Y: -8.745	A: 0.037253	W: 0.0001
X: -5.19956	Y: 7.26383	A: -0.0310798	W: 0.0001
X: 1.99591e-309	Y: 18.8255	A: -0.0931079	W: 0.0001

AMCL gives us 7 possible locations:
X: 1.54537	Y: -1.33273	A: 0.187313	W: 0.955955
X: -5.79095	Y: -5.96042	A: 0.149274	W: 0.0415633
X: -0.443672	Y: 2.74103	A: 0.0565609	W: 0.000620347
X: -4.6189	Y: -5.70652	A: -0.0648879	W: 0.000620347
X: -2.35382	Y: -5.50948	A: 0.315977	W: 0.000620347
X: -7.04767	Y: -2.42266	A: 0.0860257	W: 0.000620347
X: 2.06245e-309	Y: 2.38161	A: 0.0703883	W: 0.0044

AMCL gives us 3 possible locations:
X: 1.4683	Y: -1.34707	A: 0.28921	W: 0.972678
X: -5.88531	Y: -5.97949	A: 0.170354	W: 0.0273224
X: 2.06719e-309	Y: 2.74103	A: 0.0565609	W: 0.000620347

AMCL gives us 3 possible locations:
X: 1.4683	Y: -1.34707	A: 0.28921	W: 0.972678
X: -5.88531	Y: -5.97949	A: 0.170354	W: 0.0273224
X: 2.06719e-309	Y: 2.74103	A: 0.0565609	W: 0.000620347

AMCL gives us 3 possible locations:
X: 1.3925	Y: -1.36909	A: 0.390019	W: 0.837163
X: -5.95629	Y: -5.98566	A: 0.177199	W: 0.162837
X: 2.06719e-309	Y: 2.74103	A: 0.0565609	W: 0.000620347

AMCL gives us 3 possible locations:
X: 1.32228	Y: -1.39339	A: 0.473587	W: 0.500691
X: -6.0251	Y: -5.99493	A: 0.211316	W: 0.499309
X: 2.06719e-309	Y: 2.74103	A: 0.0565609	W: 0.000620347

AMCL gives us 3 possible locations:
X: 1.25446	Y: -1.42777	A: 0.57637	W: 0.771685
X: -6.09641	Y: -6.00887	A: 0.273071	W: 0.228315
X: 2.06719e-309	Y: 2.74103	A: 0.0565609	W: 0.000620347

AMCL gives us 3 possible locations:
X: 1.18987	Y: -1.46751	A: 0.676597	W: 0.87011
X: -6.16912	Y: -6.02649	A: 0.328094	W: 0.12989
